document_title,question_text,short_answer,yes_no_answer
While My Guitar Gently Weeps,who played guitar on my guitar gently weeps,"[{'short_answer1': [{'end_byte': 137133, 'end_token': 291, 'start_byte': 137121, 'start_token': 289}]}, {'short_answer2': [{'end_byte': 136637, 'end_token': 230, 'start_byte': 136622, 'start_token': 228}]}, {'short_answer3': [{'end_byte': 203189, 'end_token': 5118, 'start_byte': 203177, 'start_token': 5116}, {'end_byte': 202544, 'end_token': 5069, 'start_byte': 202529, 'start_token': 5067}]}]",NONE
List of Olympic Games host cities,when was the last time beijing hosted the winter olympics,[],NONE
Rick and Morty,what state does rick and morty take place in,"[{'short_answer1': [{'end_byte': 54049, 'end_token': 790, 'start_byte': 54039, 'start_token': 789}]}, {'short_answer2': [{'end_byte': 54049, 'end_token': 790, 'start_byte': 53959, 'start_token': 785}]}, {'short_answer3': [{'end_byte': 54049, 'end_token': 790, 'start_byte': 54039, 'start_token': 789}]}]",NONE
"Good Cop, Bad Cop (NCIS)",what did gibbs whisper to ziva in season 7,[],NONE
Jumping the shark,where does the phrase jumping the shark come from,"[{'short_answer1': [{'end_byte': 57563, 'end_token': 271, 'start_byte': 57295, 'start_token': 244}]}, {'short_answer2': [{'end_byte': 57563, 'end_token': 271, 'start_byte': 57295, 'start_token': 244}]}]",NONE
Category:Indian Union Territory capitals,seven union territories of india and their capital,"[{'short_answer1': [{'end_byte': 62411, 'end_token': 59, 'start_byte': 62305, 'start_token': 52}, {'end_byte': 62514, 'end_token': 64, 'start_byte': 62425, 'start_token': 61}, {'end_byte': 62622, 'end_token': 72, 'start_byte': 62528, 'start_token': 66}, {'end_byte': 62743, 'end_token': 79, 'start_byte': 62636, 'start_token': 74}, {'end_byte': 62845, 'end_token': 84, 'start_byte': 62757, 'start_token': 81}, {'end_byte': 62899, 'end_token': 92, 'start_byte': 62859, 'start_token': 86}, {'end_byte': 62935, 'end_token': 97, 'start_byte': 62909, 'start_token': 94}]}, {'short_answer2': [{'end_byte': 62411, 'end_token': 59, 'start_byte': 62305, 'start_token': 52}, {'end_byte': 62514, 'end_token': 64, 'start_byte': 62425, 'start_token': 61}, {'end_byte': 62622, 'end_token': 72, 'start_byte': 62528, 'start_token': 66}, {'end_byte': 62743, 'end_token': 79, 'start_byte': 62636, 'start_token': 74}, {'end_byte': 62845, 'end_token': 84, 'start_byte': 62757, 'start_token': 81}, {'end_byte': 62899, 'end_token': 92, 'start_byte': 62859, 'start_token': 86}, {'end_byte': 62935, 'end_token': 97, 'start_byte': 62909, 'start_token': 94}]}]",NONE
"Get Outta My Dreams, Get into My Car",out of my dreams get into my car,[],NONE
Fall Out Boy's Evening Out with Your Girlfriend,fall out boy's evening out with your girlfriend,[],NONE
Seawise Giant,seawise giant happy giant jahre viking and knock nevis,[],NONE
Flag of El Salvador,what do the colors on the el salvador flag mean,[],NONE
Marsupial,marsupials are found in north america and australia,[],NONE
One Tree Hill (season 3),when does nathan get in a car accident,"[{'short_answer1': [{'end_byte': 94022, 'end_token': 3709, 'start_byte': 93991, 'start_token': 3702}]}, {'short_answer2': [{'end_byte': 94016, 'end_token': 3708, 'start_byte': 93997, 'start_token': 3703}]}, {'short_answer3': [{'end_byte': 94016, 'end_token': 3708, 'start_byte': 93997, 'start_token': 3703}]}]",NONE
List of Who Wants to Be a Millionaire? top prize winners,average winnings on who wants to be a millionaire,[],NONE
FaZe Clan,who has the most subscribers in faze clan,"[{'short_answer1': [{'end_byte': 77258, 'end_token': 1100, 'start_byte': 77250, 'start_token': 1098}]}, {'short_answer2': [{'end_byte': 77258, 'end_token': 1100, 'start_byte': 77250, 'start_token': 1098}]}, {'short_answer3': [{'end_byte': 77258, 'end_token': 1100, 'start_byte': 77250, 'start_token': 1098}]}, {'short_answer4': [{'end_byte': 77258, 'end_token': 1100, 'start_byte': 77250, 'start_token': 1098}]}]",NONE
The Winds of Winter (Game of Thrones),game of thrones synopsis season 6 episode 10,[],NONE
Institution,the values and beliefs of a culture are examples of a formal institution,[],NONE
The Mask of Zorro,the mask of zorro sword scene of zorro and elena,[],NONE
The Boy in the Striped Pyjamas (film),what happens in the movie the boy in the striped pajamas,[],NONE
Firefighting,the removal of temperature in fire fighting method is known as,"[{'short_answer1': [{'end_byte': 106045, 'end_token': 4537, 'start_byte': 106036, 'start_token': 4536}]}]",NONE
Category:Snakes of South America,what kind of snakes live in south america,[],NONE
The Witch and the Hundred Knight 2,the witch and the hundred knight 2 us release,"[{'short_answer1': [{'end_byte': 57972, 'end_token': 163, 'start_byte': 57958, 'start_token': 159}]}, {'short_answer2': [{'end_byte': 57972, 'end_token': 163, 'start_byte': 57958, 'start_token': 159}]}, {'short_answer3': [{'end_byte': 57972, 'end_token': 163, 'start_byte': 57958, 'start_token': 159}]}, {'short_answer4': [{'end_byte': 59569, 'end_token': 278, 'start_byte': 59559, 'start_token': 276}]}]",NONE
"Don't Worry, Be Happy",who was in dont worry be happy video,"[{'short_answer1': [{'end_byte': 158963, 'end_token': 754, 'start_byte': 158819, 'start_token': 746}]}, {'short_answer2': [{'end_byte': 158827, 'end_token': 747, 'start_byte': 158819, 'start_token': 746}, {'end_byte': 158897, 'end_token': 750, 'start_byte': 158883, 'start_token': 748}, {'end_byte': 158963, 'end_token': 754, 'start_byte': 158953, 'start_token': 752}]}]",NONE
List of sitting judges of the Supreme Court of India,total strength of judges in supreme court of india,"[{'short_answer1': [{'end_byte': 58761, 'end_token': 82, 'start_byte': 58752, 'start_token': 80}]}, {'short_answer2': [{'end_byte': 58754, 'end_token': 81, 'start_byte': 58752, 'start_token': 80}]}, {'short_answer3': [{'end_byte': 58761, 'end_token': 82, 'start_byte': 58752, 'start_token': 80}]}]",NONE
Gynaecology,what is the meaning of gynaecologist in hindi,[],NONE
Bye and Bye We're Going to See the King,bye and bye going to see the king by blind willie johnson,[],NONE
Wish I Knew You,wish i knew you when i was young song meaning,[],NONE
Centipede,how many pairs of legs does a centipede have,[],NONE
Just When I Needed You Most,who is the original singer of just when i needed you most,"[{'short_answer1': [{'end_byte': 45672, 'end_token': 176, 'start_byte': 45657, 'start_token': 174}]}, {'short_answer2': [{'end_byte': 45672, 'end_token': 176, 'start_byte': 45657, 'start_token': 174}]}, {'short_answer3': [{'end_byte': 45672, 'end_token': 176, 'start_byte': 45510, 'start_token': 170}]}, {'short_answer4': [{'end_byte': 45672, 'end_token': 176, 'start_byte': 45657, 'start_token': 174}]}]",NONE
Water fluoridation,where is the highest level of fluoride stored in the teeth,"[{'short_answer1': [{'end_byte': 109161, 'end_token': 4174, 'start_byte': 109140, 'start_token': 4170}]}]",NONE
Microscope slide,where do you place the glass slide at the end of lab,[],NONE
Optic nerve,ganglion axons forming the optic nerve run to the,"[{'short_answer1': [{'end_byte': 68904, 'end_token': 692, 'start_byte': 68885, 'start_token': 690}]}, {'short_answer2': [{'end_byte': 61447, 'end_token': 294, 'start_byte': 61434, 'start_token': 292}]}]",NONE
Simba,who played the voice of mufasa in lion king,[],NONE
History of manga,what was the first form of manga in japan,"[{'short_answer1': [{'end_byte': 62662, 'end_token': 922, 'start_byte': 62612, 'start_token': 913}]}]",NONE
"Olé, Olé, Olé",ole ole ole ole we are the champ,[],NONE
I'm a Celebrity...Get Me Out of Here! (UK TV series),when does i'm a celebrity get me out of here start in the uk,"[{'short_answer1': [{'end_byte': 166845, 'end_token': 10455, 'start_byte': 166841, 'start_token': 10454}]}, {'short_answer2': [{'end_byte': 166845, 'end_token': 10455, 'start_byte': 166841, 'start_token': 10454}]}]",NONE
List of Ben 10: Ultimate Alien episodes,ben 10 ultimate alien episode 2 season 1,"[{'short_answer1': [{'end_byte': 50488, 'end_token': 733, 'start_byte': 50483, 'start_token': 732}]}]",NONE
Categorical imperative,act only from those personal rules that you can at the same time will to be moral laws,[],NONE
Peach,where do peaches come from in the us,"[{'short_answer1': [{'end_byte': 109590, 'end_token': 4006, 'start_byte': 109583, 'start_token': 4005}, {'end_byte': 110037, 'end_token': 4047, 'start_byte': 110027, 'start_token': 4046}, {'end_byte': 110114, 'end_token': 4050, 'start_byte': 110100, 'start_token': 4048}, {'end_byte': 109822, 'end_token': 4031, 'start_byte': 109810, 'start_token': 4029}]}, {'short_answer2': [{'end_byte': 109590, 'end_token': 4006, 'start_byte': 109583, 'start_token': 4005}, {'end_byte': 110037, 'end_token': 4047, 'start_byte': 110027, 'start_token': 4046}, {'end_byte': 110114, 'end_token': 4050, 'start_byte': 110100, 'start_token': 4048}]}]",NONE
Lead-based paint in the United Kingdom,when did they stop putting lead in paint,"[{'short_answer1': [{'end_byte': 52890, 'end_token': 53, 'start_byte': 52886, 'start_token': 52}]}]",NONE
Zuchon,what breed of dog is the teddy bear dog,"[{'short_answer1': [{'end_byte': 54837, 'end_token': 14, 'start_byte': 54831, 'start_token': 13}]}, {'short_answer2': [{'end_byte': 55884, 'end_token': 52, 'start_byte': 55724, 'start_token': 45}]}, {'short_answer3': [{'end_byte': 54837, 'end_token': 14, 'start_byte': 54831, 'start_token': 13}, {'end_byte': 55884, 'end_token': 52, 'start_byte': 55724, 'start_token': 45}]}]",NONE
Battles of Lexington and Concord,when did the battles of lexington and concord happen,"[{'short_answer1': [{'end_byte': 56919, 'end_token': 490, 'start_byte': 56905, 'start_token': 486}]}, {'short_answer2': [{'end_byte': 56919, 'end_token': 490, 'start_byte': 56905, 'start_token': 486}]}, {'short_answer3': [{'end_byte': 56919, 'end_token': 490, 'start_byte': 56905, 'start_token': 486}]}, {'short_answer4': [{'end_byte': 56919, 'end_token': 490, 'start_byte': 56905, 'start_token': 486}]}]",NONE
First Battle of Bull Run,who won the 1st battle of bull run,"[{'short_answer1': [{'end_byte': 71138, 'end_token': 526, 'start_byte': 71120, 'start_token': 524}]}, {'short_answer2': [{'end_byte': 60039, 'end_token': 179, 'start_byte': 60028, 'start_token': 178}]}, {'short_answer3': [{'end_byte': 71138, 'end_token': 526, 'start_byte': 71120, 'start_token': 524}]}, {'short_answer4': [{'end_byte': 71998, 'end_token': 612, 'start_byte': 71979, 'start_token': 610}]}]",NONE
Geography of Israel,what was the geographical significance of the location of judah and north israel,[],NONE
Butler,what is the name of the under butler in downton abbey,"[{'short_answer1': [{'end_byte': 99383, 'end_token': 4295, 'start_byte': 99374, 'start_token': 4293}]}]",NONE
Demand curve,which of the following will not decrease the demand for a commodity,[],NONE
"The Show, the After Party, the Hotel",jodeci the show the afterparty the hotel album,[],NONE
Kerala Higher Secondary Examination Board,government of kerala board of higher secondary examination contact details,[],NONE
17-Mile Drive,where is the start of 17 mile drive,"[{'short_answer1': [{'end_byte': 46261, 'end_token': 233, 'start_byte': 46129, 'start_token': 223}]}, {'short_answer2': [{'end_byte': 43088, 'end_token': 56, 'start_byte': 42981, 'start_token': 50}]}, {'short_answer3': [{'end_byte': 58516, 'end_token': 1171, 'start_byte': 58458, 'start_token': 1161}]}]",NONE
List of Metallica concert tours,when was the last time metallica played milwaukee,[],NONE
History of California before 1900,in the early 1800s california society was dominated by which group,"[{'short_answer1': [{'end_byte': 95927, 'end_token': 2921, 'start_byte': 95920, 'start_token': 2920}]}, {'short_answer2': [{'end_byte': 95978, 'end_token': 2930, 'start_byte': 95971, 'start_token': 2929}]}]",NONE
Scientific method,in the process of science hypotheses lead most directly to,"[{'short_answer1': [{'end_byte': 58822, 'end_token': 240, 'start_byte': 58776, 'start_token': 232}]}, {'short_answer2': [{'end_byte': 58822, 'end_token': 240, 'start_byte': 58776, 'start_token': 232}]}]",NONE
Director's cut,what is the director's cut of a movie,"[{'short_answer1': [{'end_byte': 62780, 'end_token': 270, 'start_byte': 62208, 'start_token': 239}]}, {'short_answer2': [{'end_byte': 62780, 'end_token': 270, 'start_byte': 62261, 'start_token': 240}]}, {'short_answer3': [{'end_byte': 62780, 'end_token': 270, 'start_byte': 62688, 'start_token': 264}]}, {'short_answer4': [{'end_byte': 62780, 'end_token': 270, 'start_byte': 62208, 'start_token': 239}]}]",NONE
National Recovery Administration,who was appointed to manage the national recovery administration,"[{'short_answer1': [{'end_byte': 65608, 'end_token': 829, 'start_byte': 65593, 'start_token': 826}]}, {'short_answer2': [{'end_byte': 65608, 'end_token': 829, 'start_byte': 65593, 'start_token': 826}]}, {'short_answer3': [{'end_byte': 65745, 'end_token': 840, 'start_byte': 65593, 'start_token': 826}]}, {'short_answer4': [{'end_byte': 65608, 'end_token': 829, 'start_byte': 65593, 'start_token': 826}]}]",NONE
Pulmonary circulation,how oxygenated blood returns to the heart from the lungs,"[{'short_answer1': [{'end_byte': 58887, 'end_token': 157, 'start_byte': 58866, 'start_token': 155}]}]",NONE
In Another World With My Smartphone,in another world with my smartphone japanese title,"[{'short_answer1': [{'end_byte': 47573, 'end_token': 382, 'start_byte': 47528, 'start_token': 377}, {'end_byte': 47650, 'end_token': 389, 'start_byte': 47619, 'start_token': 383}]}, {'short_answer2': [{'end_byte': 47650, 'end_token': 389, 'start_byte': 47619, 'start_token': 383}]}, {'short_answer3': [{'end_byte': 47650, 'end_token': 389, 'start_byte': 47528, 'start_token': 377}]}]",NONE
Retirement age,when did the government change the retirement age,"[{'short_answer1': [{'end_byte': 91787, 'end_token': 3220, 'start_byte': 91783, 'start_token': 3219}]}]",NONE
Smart city,which city is called smart city in india,[],NONE
Line of Duty,who plays jill bigelow in line of duty,"[{'short_answer1': [{'end_byte': 60296, 'end_token': 1711, 'start_byte': 60284, 'start_token': 1709}]}, {'short_answer2': [{'end_byte': 60296, 'end_token': 1711, 'start_byte': 60284, 'start_token': 1709}]}, {'short_answer3': [{'end_byte': 60296, 'end_token': 1711, 'start_byte': 60284, 'start_token': 1709}]}, {'short_answer4': [{'end_byte': 60296, 'end_token': 1711, 'start_byte': 60284, 'start_token': 1709}]}]",NONE
Paraguay River,where does the paraguay river start and end,"[{'short_answer1': [{'end_byte': 58639, 'end_token': 129, 'start_byte': 58434, 'start_token': 122}, {'end_byte': 58821, 'end_token': 138, 'start_byte': 58808, 'start_token': 136}]}]",NONE
2018 iHeartRadio Music Awards,who won best boy band i heart radio music awards,"[{'short_answer1': [{'end_byte': 98363, 'end_token': 2548, 'start_byte': 98360, 'start_token': 2547}]}, {'short_answer2': [{'end_byte': 98363, 'end_token': 2548, 'start_byte': 98360, 'start_token': 2547}]}, {'short_answer3': [{'end_byte': 98363, 'end_token': 2548, 'start_byte': 98360, 'start_token': 2547}]}]",NONE
Statue of Liberty,where was the statue of liberty originally built,"[{'short_answer1': [{'end_byte': 101957, 'end_token': 4158, 'start_byte': 101952, 'start_token': 4157}]}]",NONE
Olympic Hymn,what language is the olympic anthem sang in,[],NONE
USS Bonhomme Richard (1765),where did the battle of bonhomme richard take place,"[{'short_answer1': [{'end_byte': 68115, 'end_token': 778, 'start_byte': 68036, 'start_token': 775}]}]",NONE
List of K.C. Undercover episodes,when does kc undercover season 3 episode 10 air,"[{'short_answer1': [{'end_byte': 141639, 'end_token': 11815, 'start_byte': 141620, 'start_token': 11811}]}]",NONE
Ohio River,where does the ohio river and the mississippi river meet,"[{'short_answer1': [{'end_byte': 77660, 'end_token': 1774, 'start_byte': 77572, 'start_token': 1767}]}, {'short_answer2': [{'end_byte': 77660, 'end_token': 1774, 'start_byte': 77572, 'start_token': 1767}]}, {'short_answer3': [{'end_byte': 107797, 'end_token': 4315, 'start_byte': 107782, 'start_token': 4312}]}]",NONE
History of music publishing,who is credited as being the world's first published musicologist,[],NONE
Bacterial conjugation,what is the advantage of genetic recombination as a mode of reproduction in bacteria,[],NONE
Evolution of primates,when did primates appear in the fossil record,[],NONE
Perfect is the enemy of good,don't let perfect be the enemy of good enough,[],NONE
Interstate 95,how far is daytona fl from jacksonville fl,[],NONE
Michael Moriarty,who was the actor that played ben stone on law and order,"[{'short_answer1': [{'end_byte': 60700, 'end_token': 270, 'start_byte': 60684, 'start_token': 268}]}, {'short_answer2': [{'end_byte': 60700, 'end_token': 270, 'start_byte': 60684, 'start_token': 268}]}, {'short_answer3': [{'end_byte': 60700, 'end_token': 270, 'start_byte': 60684, 'start_token': 268}]}, {'short_answer4': [{'end_byte': 60700, 'end_token': 270, 'start_byte': 60684, 'start_token': 268}]}]",NONE
"Fundamental Rights, Directive Principles and Fundamental Duties of India",fundamental duties of the constitution have been taken from,[],NONE
Daredevil (season 1),what happened to fisk in daredevil season 1,[],NONE
Health professional,what do you mean by health care services,[],NONE
Crash My Party,luke bryan you can crash my party anytime,[],NONE
Tigris,where is tigris river located on the world map,"[{'short_answer1': [{'end_byte': 49202, 'end_token': 244, 'start_byte': 48939, 'start_token': 221}]}]",NONE
Amazon River,where is the amazon river located in south america,[],NONE
Scheria,where do the phaeacians live in the odyssey,"[{'short_answer1': [{'end_byte': 41384, 'end_token': 14, 'start_byte': 41377, 'start_token': 13}]}, {'short_answer2': [{'end_byte': 42174, 'end_token': 33, 'start_byte': 41377, 'start_token': 13}]}, {'short_answer3': [{'end_byte': 41384, 'end_token': 14, 'start_byte': 41377, 'start_token': 13}]}]",NONE
Border War (Kansas–Missouri rivalry),who did ku beat in football this year,[],NONE
eSight,who invented the glasses that give sight to the blind,"[{'short_answer1': [{'end_byte': 58777, 'end_token': 198, 'start_byte': 58773, 'start_token': 197}]}, {'short_answer2': [{'end_byte': 58793, 'end_token': 201, 'start_byte': 58781, 'start_token': 199}]}, {'short_answer3': [{'end_byte': 58793, 'end_token': 201, 'start_byte': 58781, 'start_token': 199}]}]",NONE
Stop and identify statutes,do i have to show id to police in florida,[],NONE
Climate of Delhi,when it is winters in delhi how will the weather be in chennai,[],NONE
Princess Leia,when do we find out luke and leia are siblings,"[{'short_answer1': [{'end_byte': 54483, 'end_token': 800, 'start_byte': 54382, 'start_token': 792}]}, {'short_answer2': [{'end_byte': 54468, 'end_token': 797, 'start_byte': 54382, 'start_token': 792}]}, {'short_answer3': [{'end_byte': 54468, 'end_token': 797, 'start_byte': 54450, 'start_token': 793}]}]",NONE
Childhood disintegrative disorder,what is rett's disorder and childhood disintegrative disorder,[],NONE
Little Red Riding Hood,who wrote the original little red riding hood story,"[{'short_answer1': [{'end_byte': 173983, 'end_token': 2214, 'start_byte': 173967, 'start_token': 2212}]}]",NONE
Precipitation,what are the four main types of precipitation,"[{'short_answer1': [{'end_byte': 44637, 'end_token': 61, 'start_byte': 44630, 'start_token': 60}, {'end_byte': 44681, 'end_token': 63, 'start_byte': 44677, 'start_token': 62}, {'end_byte': 44756, 'end_token': 65, 'start_byte': 44751, 'start_token': 64}, {'end_byte': 44800, 'end_token': 67, 'start_byte': 44796, 'start_token': 66}, {'end_byte': 44853, 'end_token': 69, 'start_byte': 44846, 'start_token': 68}, {'end_byte': 44900, 'end_token': 71, 'start_byte': 44896, 'start_token': 70}]}]",NONE
Figure skating at the 2018 Winter Olympics – Men's singles,who won the men's ice skating 2018,"[{'short_answer1': [{'end_byte': 68188, 'end_token': 363, 'start_byte': 68176, 'start_token': 361}]}, {'short_answer2': [{'end_byte': 68188, 'end_token': 363, 'start_byte': 68176, 'start_token': 361}]}, {'short_answer3': [{'end_byte': 68188, 'end_token': 363, 'start_byte': 68176, 'start_token': 361}]}, {'short_answer4': [{'end_byte': 68188, 'end_token': 363, 'start_byte': 68176, 'start_token': 361}]}]",NONE
Tire rotation,what happens when you dont rotate your tires,[],NONE
My Big Fat Fabulous Life,where is the show my big fat fabulous life filmed,[],NONE
You're Only Young Twice,where was you're only young twice filmed,[],NONE
United States Department of Health and Human Services,number of employees in the department of health and human services,"[{'short_answer1': [{'end_byte': 62302, 'end_token': 266, 'start_byte': 62296, 'start_token': 265}]}, {'short_answer2': [{'end_byte': 62309, 'end_token': 269, 'start_byte': 62296, 'start_token': 265}]}, {'short_answer3': [{'end_byte': 62302, 'end_token': 266, 'start_byte': 62296, 'start_token': 265}]}, {'short_answer4': [{'end_byte': 62302, 'end_token': 266, 'start_byte': 62296, 'start_token': 265}]}]",NONE
Pioneer Column,give a reason why the pioneer column built laagers at night,[],NONE
Express trains in India,which is the fastest train in india and what is its speed,"[{'short_answer1': [{'end_byte': 63644, 'end_token': 1464, 'start_byte': 63609, 'start_token': 1458}, {'end_byte': 64044, 'end_token': 1487, 'start_byte': 64021, 'start_token': 1481}, {'end_byte': 64069, 'end_token': 1494, 'start_byte': 64046, 'start_token': 1488}]}, {'short_answer2': [{'end_byte': 63644, 'end_token': 1464, 'start_byte': 63621, 'start_token': 1461}, {'end_byte': 64044, 'end_token': 1487, 'start_byte': 64021, 'start_token': 1481}, {'end_byte': 64069, 'end_token': 1494, 'start_byte': 64046, 'start_token': 1488}]}, {'short_answer3': [{'end_byte': 72450, 'end_token': 1932, 'start_byte': 72443, 'start_token': 1931}, {'end_byte': 72480, 'end_token': 1938, 'start_byte': 72470, 'start_token': 1935}]}]",NONE
Permanent members of the United Nations Security Council,who are the permanent member of un security council,"[{'short_answer1': [{'end_byte': 61130, 'end_token': 316, 'start_byte': 61125, 'start_token': 315}, {'end_byte': 64365, 'end_token': 377, 'start_byte': 64359, 'start_token': 376}, {'end_byte': 67132, 'end_token': 427, 'start_byte': 67126, 'start_token': 426}, {'end_byte': 69253, 'end_token': 468, 'start_byte': 69239, 'start_token': 466}, {'end_byte': 70849, 'end_token': 507, 'start_byte': 70836, 'start_token': 505}]}, {'short_answer2': [{'end_byte': 56338, 'end_token': 84, 'start_byte': 56333, 'start_token': 83}, {'end_byte': 56519, 'end_token': 93, 'start_byte': 56513, 'start_token': 92}, {'end_byte': 56651, 'end_token': 101, 'start_byte': 56645, 'start_token': 100}, {'end_byte': 56729, 'end_token': 105, 'start_byte': 56715, 'start_token': 103}, {'end_byte': 56808, 'end_token': 110, 'start_byte': 56795, 'start_token': 108}]}, {'short_answer3': [{'end_byte': 56338, 'end_token': 84, 'start_byte': 56333, 'start_token': 83}, {'end_byte': 56519, 'end_token': 93, 'start_byte': 56513, 'start_token': 92}, {'end_byte': 56651, 'end_token': 101, 'start_byte': 56645, 'start_token': 100}, {'end_byte': 56729, 'end_token': 105, 'start_byte': 56715, 'start_token': 103}, {'end_byte': 56808, 'end_token': 110, 'start_byte': 56795, 'start_token': 108}]}]",NONE
Timeline of young people's rights in the United Kingdom,when did the drinking age change in the uk,[],NONE
University of Miami,what is the enrollment at university of miami,"[{'short_answer1': [{'end_byte': 50397, 'end_token': 334, 'start_byte': 50382, 'start_token': 332}]}, {'short_answer2': [{'end_byte': 50388, 'end_token': 333, 'start_byte': 50382, 'start_token': 332}]}]",NONE
War of 1812,who was the commander of the war of 1812,[],NONE
List of average human height worldwide,what is the average height of a chinese man,"[{'short_answer1': [{'end_byte': 83918, 'end_token': 2610, 'start_byte': 83895, 'start_token': 2602}]}, {'short_answer2': [{'end_byte': 83917, 'end_token': 2609, 'start_byte': 83906, 'start_token': 2605}]}]",NONE
Jikkyō Power Pro Wrestling '96: Max Voltage,jikkyou power pro wrestling '96 - max voltage,[],NONE
Real image,a concave mirror can form a real image which is a copy of an object that forms,"[{'short_answer1': [{'end_byte': 43323, 'end_token': 151, 'start_byte': 43188, 'start_token': 136}]}, {'short_answer2': [{'end_byte': 44530, 'end_token': 318, 'start_byte': 44447, 'start_token': 301}]}]",NONE
Diurnal temperature variation,what is the average temperature on earth day and night,[],NONE
Who's on First?,which abbott and costello movie has who on first,"[{'short_answer1': [{'end_byte': 62864, 'end_token': 716, 'start_byte': 62840, 'start_token': 711}, {'end_byte': 63007, 'end_token': 729, 'start_byte': 62987, 'start_token': 726}]}, {'short_answer2': [{'end_byte': 62864, 'end_token': 716, 'start_byte': 62840, 'start_token': 711}, {'end_byte': 63007, 'end_token': 729, 'start_byte': 62987, 'start_token': 726}]}, {'short_answer3': [{'end_byte': 62864, 'end_token': 716, 'start_byte': 62840, 'start_token': 711}, {'end_byte': 63007, 'end_token': 729, 'start_byte': 62987, 'start_token': 726}]}, {'short_answer4': [{'end_byte': 62864, 'end_token': 716, 'start_byte': 62840, 'start_token': 711}, {'end_byte': 63007, 'end_token': 729, 'start_byte': 62987, 'start_token': 726}]}]",NONE
American Civil War,what was the name of the confederate strategy during the civil war,[],NONE
Beauty and the Beast (2017 film),who does the voice of the beast in the new movie,"[{'short_answer1': [{'end_byte': 63642, 'end_token': 1507, 'start_byte': 63631, 'start_token': 1505}]}, {'short_answer2': [{'end_byte': 52388, 'end_token': 432, 'start_byte': 52377, 'start_token': 430}]}, {'short_answer3': [{'end_byte': 52388, 'end_token': 432, 'start_byte': 52377, 'start_token': 430}]}, {'short_answer4': [{'end_byte': 63642, 'end_token': 1507, 'start_byte': 63631, 'start_token': 1505}]}]",NONE
Beats Electronics,when did the first wireless beats come out,"[{'short_answer1': [{'end_byte': 60112, 'end_token': 1147, 'start_byte': 60100, 'start_token': 1145}]}, {'short_answer2': [{'end_byte': 60112, 'end_token': 1147, 'start_byte': 60100, 'start_token': 1145}]}, {'short_answer3': [{'end_byte': 60112, 'end_token': 1147, 'start_byte': 60100, 'start_token': 1145}]}]",NONE
Prime Minister of India,prime minister of india without becoming a union cabinet minister,[],NONE
California Gold Rush,how did the california gold rush affect the growth of california,"[{'short_answer1': [{'end_byte': 117235, 'end_token': 5704, 'start_byte': 117083, 'start_token': 5677}]}]",NONE
Flag of the United States,what does the american flag with one red strip mean,[],NONE
Episcopal polity,what is the hierarchy of the episcopal church,[],NONE
Margaery Tyrell,how old was tommen when he married margaery,[],NONE
Adidas Yeezy,when did the first pair of yeezys come out,"[{'short_answer1': [{'end_byte': 42815, 'end_token': 75, 'start_byte': 42798, 'start_token': 71}]}, {'short_answer2': [{'end_byte': 42815, 'end_token': 75, 'start_byte': 42798, 'start_token': 71}]}, {'short_answer3': [{'end_byte': 42815, 'end_token': 75, 'start_byte': 42798, 'start_token': 71}]}, {'short_answer4': [{'end_byte': 42815, 'end_token': 75, 'start_byte': 42798, 'start_token': 71}]}]",NONE
Be Thankful for What You Got,who wrote the song be thankful for what you got,"[{'short_answer1': [{'end_byte': 41032, 'end_token': 147, 'start_byte': 41016, 'start_token': 145}]}, {'short_answer2': [{'end_byte': 41470, 'end_token': 185, 'start_byte': 41454, 'start_token': 183}]}, {'short_answer3': [{'end_byte': 41470, 'end_token': 185, 'start_byte': 41454, 'start_token': 183}]}, {'short_answer4': [{'end_byte': 41470, 'end_token': 185, 'start_byte': 41454, 'start_token': 183}]}]",NONE
The Crossing (TV series),where did they film the show the crossing,"[{'short_answer1': [{'end_byte': 60972, 'end_token': 347, 'start_byte': 60906, 'start_token': 343}]}, {'short_answer2': [{'end_byte': 60972, 'end_token': 347, 'start_byte': 60906, 'start_token': 343}]}, {'short_answer3': [{'end_byte': 60972, 'end_token': 347, 'start_byte': 60906, 'start_token': 343}]}]",NONE
Cool Hand Luke,when was the movie cool hand luke made,"[{'short_answer1': [{'end_byte': 47839, 'end_token': 270, 'start_byte': 47835, 'start_token': 269}]}, {'short_answer2': [{'end_byte': 47839, 'end_token': 270, 'start_byte': 47835, 'start_token': 269}]}, {'short_answer3': [{'end_byte': 47839, 'end_token': 270, 'start_byte': 47835, 'start_token': 269}]}, {'short_answer4': [{'end_byte': 47839, 'end_token': 270, 'start_byte': 47835, 'start_token': 269}]}]",NONE
A rose by any other name would smell as sweet,who says that which we call a rose,"[{'short_answer1': [{'end_byte': 41723, 'end_token': 59, 'start_byte': 41717, 'start_token': 58}]}, {'short_answer2': [{'end_byte': 41605, 'end_token': 50, 'start_byte': 41586, 'start_token': 48}, {'end_byte': 42057, 'end_token': 125, 'start_byte': 42051, 'start_token': 124}]}]",NONE
Semiconservative replication,who proposed the first accurate model of dna,"[{'short_answer1': [{'end_byte': 43934, 'end_token': 162, 'start_byte': 43928, 'start_token': 161}, {'end_byte': 44000, 'end_token': 164, 'start_byte': 43995, 'start_token': 163}]}]",NONE
Finding Your Roots,when does finding your roots air on pbs,[],NONE
